City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,port-gentil,-0.7193,8.7815,27.98,83,40,3.09,GA,1681410704
302,kharan,28.5833,65.4167,29.02,11,0,3.17,PK,1681410704
303,khor,47.8861,134.9464,-1.74,82,87,3.39,RU,1681410585
304,bjelovar,45.8986,16.8489,7.74,97,100,5.07,HR,1681410705
305,atikokan,48.7555,-91.6216,9.46,75,100,2.45,CA,1681410705
306,henties bay,-22.116,14.2845,15.29,82,0,3.76,NA,1681410705
307,san cosme y damian,-27.3167,-56.35,21.1,97,100,2.42,PY,1681410706
308,caruray,10.3094,119.0128,25.59,85,100,0.94,PH,1681410706
309,verkh-suetka,53.3,80.05,6.37,50,20,4.36,RU,1681410707
310,necochea,-38.5473,-58.7368,13.89,55,100,9.25,AR,1681410707
311,yeppoon,-23.1333,150.7333,15.88,43,0,2.48,AU,1681410707
312,ixtapa,20.7,-105.2,25.57,57,20,4.12,MX,1681410708
313,balod,20.73,81.2047,30.76,21,98,1.67,IN,1681410708
314,fortuna,40.5982,-124.1573,12.74,67,17,1.34,US,1681410708
315,bandar-e lengeh,26.5579,54.8807,26.06,65,0,2.06,IR,1681410708
316,kruisfontein,-34.0033,24.7314,15.1,79,0,5.35,ZA,1681410708
317,marsa matruh,31.3525,27.2453,17.11,77,0,2.06,EG,1681410709
318,yerofey pavlovich,53.9667,121.9667,-8.42,94,100,1.76,RU,1681410709
319,nogales,31.3086,-110.9422,23.51,15,0,7.72,MX,1681410465
320,ilulissat,69.2167,-51.1,-2.99,93,75,3.09,GL,1681410709
321,cheyenne,41.14,-104.8203,20.18,22,0,6.26,US,1681410630
322,san felipe,10.3399,-68.7425,30.48,52,33,4.03,VE,1681410710
323,portland,45.5234,-122.6762,10.37,72,75,2.24,US,1681410600
324,nador,35.174,-2.9287,22.04,42,0,6.69,MA,1681410710
325,patos de minas,-18.5789,-46.5181,26.6,61,65,1.13,BR,1681410597
326,kununurra,-15.7667,128.7333,23.99,94,100,0.0,AU,1681410710
327,san cristobal,7.7669,-72.225,28.1,37,99,3.14,VE,1681410710
328,muros,42.7762,-9.0603,13.94,84,90,7.12,ES,1681410416
329,isangel,-19.55,169.2667,27.06,89,75,0.0,VU,1681410711
330,tessalit,20.1986,1.0114,31.37,9,100,4.74,ML,1681410711
331,kulu,39.0951,33.0799,7.04,63,7,1.06,TR,1681410711
332,bereznik,62.8551,42.7072,-9.14,91,8,2.42,RU,1681410712
333,birao,10.2849,22.7882,32.19,19,96,2.92,CF,1681410712
334,nchelenge,-9.3451,28.734,21.06,90,43,2.91,ZM,1681410712
335,safaga,26.7292,33.9365,20.71,42,0,2.19,EG,1681410712
336,tezu,27.9167,96.1667,22.95,43,1,1.97,IN,1681410713
337,dunedin,-45.8742,170.5036,12.67,77,100,3.13,NZ,1681410713
338,vila velha,-20.3297,-40.2925,28.97,80,40,4.63,BR,1681410713
339,tambovka,50.0969,128.0489,-1.85,51,99,4.9,RU,1681410713
340,vila do maio,15.1333,-23.2167,27.44,80,95,4.67,CV,1681410713
341,basoko,1.2391,23.616,22.54,95,100,3.23,CD,1681410714
342,georgiyevskoye,58.731,45.024,-2.54,58,0,5.89,RU,1681410714
343,murgab,37.4966,61.9714,28.93,16,75,4.12,TM,1681410714
344,lhokseumawe,5.1801,97.1507,26.53,85,15,3.45,ID,1681410714
345,cabedelo,-6.9811,-34.8339,29.37,69,95,5.29,BR,1681410715
346,ponnani,10.767,75.9252,28.62,81,22,2.01,IN,1681410715
347,bodden town,19.2833,-81.25,30.0,62,20,3.6,KY,1681410715
348,surskoye,54.4821,46.7214,7.02,63,100,8.96,RU,1681410715
349,stromness,58.965,-3.296,6.04,86,100,4.02,GB,1681410716
350,dumas,35.8656,-101.9732,28.12,17,0,10.29,US,1681410624
351,kanniyakumari,8.0833,77.5667,28.06,77,28,3.0,IN,1681410716
352,springbok,-29.6643,17.8865,12.76,63,100,2.03,ZA,1681410716
353,nagato,34.3833,131.2,13.1,77,100,3.27,JP,1681410716
